channel,label,x,y,z
1,AF3,-0.037,0.0895,0.0245
2,F5,-0.0741,0.0635,0.0213
3,F1,-0.0306,0.0704,0.0639
4,F3,-0.0567,0.0677,0.0469
5,FC1,-0.038,0.0381,0.0841
6,FC3,-0.0697,0.0364,0.0617
7,FC5,-0.0896,0.0338,0.0284
8,C1,-0.0406,-0.0,0.0913
9,C3,-0.0742,0.0,0.0668
10,C5,-0.095,0.0,0.0309
11,CP1,-0.038,-0.0381,0.0841
12,CP3,-0.0697,-0.0364,0.0617
13,P3,-0.0567,-0.0677,0.0469
14,PO9,-0.027,-0.0858,-0.0436
15,P9,-0.0512,-0.0723,-0.0462
16,TP9,-0.0702,-0.0523,-0.0482
17,AF4,0.037,0.0895,0.0245
18,F6,0.0741,0.0635,0.0214
19,F2,0.0306,0.0704,0.064
20,F4,0.0566,0.0677,0.0469
21,FC2,0.038,0.0381,0.0841
22,FC4,0.0697,0.0364,0.0617
23,FC6,0.0896,0.0338,0.0284
24,C2,0.0407,0.0,0.0913
25,C4,0.0743,0.0,0.0669
26,C6,0.095,0.0,0.0309
27,CP2,0.038,-0.0381,0.0841
28,CP4,0.0697,-0.0364,0.0617
29,P4,0.0566,-0.0677,0.0469
30,PO10,0.027,-0.0858,-0.0436
31,P10,0.0512,-0.0724,-0.0462
32,TP10,0.0702,-0.0523,-0.0482
